Indicator Name,geoAreaName,parentName,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017
Proportion of women in managerial positions (%),Afghanistan,Southern Asia,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Albania,Southern Europe,,,,,,,,20.5,23.7,22.5,19.1,,16.1,31.9,,,,22.6
Proportion of women in managerial positions (%),Antarctica,World,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Algeria,Northern Africa,,5.2,,5.7,4.9,,,,,,,,,10.6,9.9,,,8.4
Proportion of women in managerial positions (%),American Samoa,Polynesia,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Andorra,Southern Europe,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Angola,Middle Africa,,,,,29.5,,,,,,29.8,31.9,,,19.5,,,
Proportion of women in managerial positions (%),Antigua and Barbuda,Caribbean,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Azerbaijan,Western Asia,,,,,,,,,,,25.5,32.8,34.2,33,34.5,35.1,34.9,34.5
Proportion of women in managerial positions (%),Argentina,South America,27.4,27.2,25.8,29,27.4,26.4,27.8,,27.9,32.4,29.9,28,30.4,30.3,30.6,,,30.9
Proportion of women in managerial positions (%),Australia,Australia and New Zealand,30,31.8,32.2,32.7,33.5,34.4,34.3,34.3,35.5,35.5,34.4,36.1,35.7,35.8,36.3,37.6,36.6,
Proportion of women in managerial positions (%),Austria,Western Europe,30.1,30.1,29.3,27.4,26.3,26.8,27.9,26.2,28.1,27.4,28.9,27.5,30.1,29.4,30.3,29.7,31.8,31.8
Proportion of women in managerial positions (%),Bahamas,Caribbean,,39.9,40.4,40.4,42.8,45.8,41.4,43.2,46.3,44.4,,51.6,,,,,,
Proportion of women in managerial positions (%),Bahrain,Western Asia,,12.3,,,10.6,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Bangladesh,Southern Asia,,,,,,,9.7,,,,14.8,,,13.2,,,11.4,10.7
Proportion of women in managerial positions (%),Armenia,Western Asia,,,,,,,,,21.5,,,31.7,,28.8,32.4,29.1,29.5,28.7
Proportion of women in managerial positions (%),Barbados,Caribbean,35.1,41.3,42.2,44.9,43.4,,,,,,,,,48.3,48.6,50.5,48.6,
Proportion of women in managerial positions (%),Belgium,Western Europe,32.1,32.9,31.8,29.9,29.9,31.8,31.5,33.8,32.7,34,34.1,29.9,32.4,31.4,31.7,32.6,32.7,33.6
Proportion of women in managerial positions (%),Bermuda,Northern America,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Bhutan,Southern Asia,,,,,,,,,,,,,,17,16.5,18.5,,
Proportion of women in managerial positions (%),Bolivia (Plurinational State of),South America,,,,,,,,,34.7,35.1,,35.7,31.4,34,39.4,37.2,35.7,35.3
Proportion of women in managerial positions (%),Bosnia and Herzegovina,Southern Europe,,,,,,,20.8,16.1,23,25.3,23.8,21.4,24.2,,24.2,22,,
Proportion of women in managerial positions (%),Botswana,Southern Africa,35.4,30.9,,33,,,30.5,,,37.9,38.6,,,,,,,
Proportion of women in managerial positions (%),Bouvet Island,South America,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Brazil,South America,,29,32.5,33.7,33.8,35.3,34.9,35.9,35.7,35.7,,36.1,38,38,38.7,39.4,39.7,39.9
Proportion of women in managerial positions (%),Belize,Central America,,,,,,,,,,,,,,,39.3,46.4,,51.1
Proportion of women in managerial positions (%),British Indian Ocean Territory,Eastern Africa,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Solomon Islands,Melanesia,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),British Virgin Islands,Caribbean,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Brunei Darussalam,South-Eastern Asia,,25.7,,,,,,,,,,,,,33.6,,,
Proportion of women in managerial positions (%),Bulgaria,Eastern Europe,29.8,32.7,33.5,31.3,34.4,34,31.6,31.4,32.3,32.2,33.3,36.8,36.4,36.5,36.7,36.5,37.9,39.2
Proportion of women in managerial positions (%),Myanmar,South-Eastern Asia,,,,,,,,,,,,,,,,28.4,,35.6
Proportion of women in managerial positions (%),Burundi,Eastern Africa,,,,,,,,,,,,,,,27.4,,,32.4
Proportion of women in managerial positions (%),Belarus,Eastern Europe,,,,,,,,,,46.3,,,,,,,46,47.6
Proportion of women in managerial positions (%),Cambodia,South-Eastern Asia,12.6,13.8,,,,,,,,,,,30.9,,,,,
Proportion of women in managerial positions (%),Cameroon,Middle Africa,,,,,,,,,,,,,,,49.3,,,
Proportion of women in managerial positions (%),Canada,Northern America,35.5,35,34.1,35.7,36.5,35.9,36.3,36.9,36,37,36.8,37.1,36.4,35.8,35.5,,,
Proportion of women in managerial positions (%),Cabo Verde,Western Africa,,,,,,,,,,,,,,,,42.3,,43.8
Proportion of women in managerial positions (%),Cayman Islands,Caribbean,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Central African Republic,Middle Africa,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Sri Lanka,Southern Asia,,,21.7,20.4,19.8,22.4,20.5,23.8,23.9,25.1,25.5,25.5,28.4,29,24.8,,,27.6
Proportion of women in managerial positions (%),Chad,Middle Africa,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Chile,South America,,,,,,,,,,,23.8,23.6,24,25,26.9,27.4,27.4,26.5
Proportion of women in managerial positions (%),China,Eastern Asia,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Christmas Island,Australia and New Zealand,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Cocos (Keeling) Islands,Australia and New Zealand,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Colombia,South America,,,,,,,,,,53.4,,,,,,,,
Proportion of women in managerial positions (%),Comoros,Eastern Africa,,,,,26.1,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Mayotte,Eastern Africa,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Congo,Western Africa,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Democratic Republic of the Congo,Middle Africa,,,,,,8,,,,,,,20.2,,,,,
Proportion of women in managerial positions (%),Cook Islands,Polynesia,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Costa Rica,Central America,32.9,25.4,26.1,29.1,26.2,24.9,29.9,27,30.4,,30,35.2,28.7,36.8,31.9,28.7,34.6,36.8
Proportion of women in managerial positions (%),Croatia,Southern Europe,24.7,24.7,27.1,24.6,22.6,24,25.6,20.7,25.4,25.2,25.8,24,26.1,24.4,23.2,26.7,29.9,29.1
Proportion of women in managerial positions (%),Cuba,Caribbean,,,,,,,,,,32.5,38.1,,,,,,,
Proportion of women in managerial positions (%),Cyprus,Western Asia,14.8,19,17.6,17.5,17.3,14.8,16.2,15.4,16.1,12.2,13.8,15,15.8,18.9,17.3,22.8,25.7,20.7
Proportion of women in managerial positions (%),Czechia,Eastern Europe,24.1,26.8,26.1,27.7,28.1,29.6,28.9,28.6,28.1,29,27.7,25.8,26.2,27.2,27.9,29.5,25.4,24.6
Proportion of women in managerial positions (%),Benin,Western Africa,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Denmark,Northern Europe,24.2,21,21.4,25.8,23.8,24.2,24.5,28.3,23.9,24.9,22.7,27.8,28.5,27.2,26.3,26.9,28,27
Proportion of women in managerial positions (%),Dominica,Caribbean,,48.4,,,,,,,,,,,,,,,,
