Indicator Name,geoAreaName,parentName,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,value_2018
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Afghanistan,Southern Asia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Albania,Southern Europe,,,,74.5,,,,,,,,,84.2
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Antarctica,World,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Algeria,Northern Africa,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),American Samoa,Polynesia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Andorra,Southern Europe,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Angola,Middle Africa,,,,,,,,,,,85.3,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Antigua and Barbuda,Caribbean,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Azerbaijan,Western Asia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Argentina,South America,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Australia,Australia and New Zealand,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Austria,Western Europe,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Bahamas,Caribbean,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Bahrain,Western Asia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Bangladesh,Southern Asia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Armenia,Western Asia,,,,,80.7,,,,,,75,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Barbados,Caribbean,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Belgium,Western Europe,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Bermuda,Northern America,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Bhutan,Southern Asia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Bolivia (Plurinational State of),South America,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Bosnia and Herzegovina,Southern Europe,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Botswana,Southern Africa,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Bouvet Island,South America,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Brazil,South America,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Belize,Central America,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),British Indian Ocean Territory,Eastern Africa,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Solomon Islands,Melanesia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),British Virgin Islands,Caribbean,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Brunei Darussalam,South-Eastern Asia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Bulgaria,Eastern Europe,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Myanmar,South-Eastern Asia,,,,,,,,,,,81.4,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Burundi,Eastern Africa,,,,,64.4,,,,,,,63.1,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Belarus,Eastern Europe,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Cambodia,South-Eastern Asia,,,,,91.6,,,,92.9,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Cameroon,Middle Africa,,,,,,88.6,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Canada,Northern America,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Cabo Verde,Western Africa,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Cayman Islands,Caribbean,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Central African Republic,Middle Africa,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Sri Lanka,Southern Asia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Chad,Middle Africa,,,,,,,,,,63.3,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Chile,South America,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),China,Eastern Asia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Christmas Island,Australia and New Zealand,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Cocos (Keeling) Islands,Australia and New Zealand,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Colombia,South America,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Comoros,Eastern Africa,,,,,,,47.4,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Mayotte,Eastern Africa,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Congo,Western Africa,,,,,,,70.8,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Democratic Republic of the Congo,Middle Africa,,51.1,,,,,,,73.8,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Cook Islands,Polynesia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Costa Rica,Central America,,,,,,,,,,,,,
