CountryName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,0.99266,0.99949,0.989,0.97706,0.95291,0.96339,0.96798,0.98676,1.00561,1.00444,1.0146,1.00871,1.02156,,,,,,
Afghanistan,,0,,0.54426,0.40582,0.54769,0.57323,0.5672,0.58602,0.60961,0.62581,0.66345,0.66925,0.65533,0.65402,0.64754,,0.64621,
Angola,,,,,,,,,0.83309,0.8234,0.77763,0.63032,,,,,,,
Albania,0.97621,0.98732,,,0.9802,0.97804,0.98504,0.99687,0.99979,1.01781,1.00569,1.00029,0.9901,0.98159,0.97668,0.98242,0.99355,1.00432,1.0173
Andorra,,,,,,,,,,,,,,,,,,,
Arab World,0.87729001,0.886300027,0.895259976,0.903349996,0.906939983,0.913670003,0.917309999,0.920419991,0.923160017,0.924130023,0.92543,0.92372,0.92969,0.93009,0.93132,0.93496,0.93578,0.93879,0.94112
United Arab Emirates,,,,,,,,,,,,,,,,,0.96095,0.95133,
Argentina,1.01587,1.01779,1.0181,1.02208,1.02779,1.033,1.04022,1.04638,1.05001,1.04754,1.03598,1.0402,1.03461,1.03136,1.03123,1.02838,1.02081,1.01963,
Armenia,1.07114,,,,,,,1.00601,0.99567,0.9899,0.99522,1.00772,,1.02907,1.04034,1.03799,,,1.02283
American Samoa,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,0.98364,0.96502,0.99024,0.97177,0.96444,1.03904,,0.97434,0.99004,,0.97936,0.97924
Australia,,,,,,,,,,,,,,,,0.92526,0.92517,0.93754,
Austria,0.96969,0.96958,0.96443,0.96342,0.96304,0.96625,0.96986,0.96881,0.9656,0.96524,0.96872,0.97008,0.97157,0.97297,0.97232,0.97283,0.97199,0.97173,
Azerbaijan,,,,,,,,,,,,,,,,,,,1.00262
Burundi,,,,0.7973,0.81838,0.83756,0.88422,0.89849,,0.92613,0.93882,0.95414,0.96371,0.97228,0.99295,1.00404,1.01382,1.02149,1.0343
Belgium,1.05728,1.06342,1.06831,1.05752,1.05655,1.06992,1.07475,1.07981,1.08786,1.08961,1.08339,1.0819,1.08252,1.08219,1.07985,1.08055,1.06966,1.07024,
Benin,0.63333,0.64629,0.66145,0.67315,0.69451,,,,,,,0.80969,,0.83489,0.8479,0.85927,0.87708,,
Burkina Faso,0.70023,0.71276,,0.73722,0.7666,0.78233,0.79949,0.81793,0.83998,0.85607,0.87711,0.89341,0.91462,0.93689,0.9483,0.96035,0.97131,0.98214,0.98913
Bangladesh,,,,,,1.05332,1.05578,1.0643,1.08539,1.05959,1.08595,,,,,,,,1.11591
Bulgaria,0.97697,0.97728,0.97835,0.97846,0.96894,0.96795,0.96899,0.96905,0.97705,0.97656,0.97026,0.96631,0.96958,0.96694,0.9746,0.97546,0.97623,,
Bahrain,1.02969,1.05332,1.06584,1.07104,1.06942,1.06913,1.07209,,,,,0.99866,1.01333,1.01446,1.00919,1.00213,1.01494,1.01399,1.02155
"Bahamas, The",,,1.01611,,0.98163,0.97984,0.98081,0.99136,0.98632,1.00189,1.0099,0.99952,1.01186,1.01085,1.00104,0.98935,1.01076,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,0.97724,0.97646,0.9774,0.97749,0.97657,0.98435,0.98884,0.99107,0.99101,0.98858,0.99057
Belize,0.98493,0.99016,,0.99797,1.00325,0.9839,0.99438,1.00684,0.99975,1.0008,1.00442,0.99741,0.99023,0.98956,0.99017,0.98217,0.97797,0.99239,0.98756
Bermuda,,1.03914,1.06155,1.08098,1.11161,1.09013,1.08261,,,,,1.07334,1.06056,1.06641,1.05304,1.0485,,,
Bolivia,0.96531,0.96783,0.97015,0.97389,0.97706,0.98178,0.98608,0.98963,0.99076,0.99238,0.99255,0.99482,0.9944,0.98957,0.98709,0.98537,0.9861,0.98288,
Brazil,,,1.01296,1.03545,1.03353,1.02885,,1.04399,1.03873,1.04416,,1.02593,1.02894,1.02651,1.03266,1.01545,1.01698,1.00377,
Barbados,1.00695,0.99534,0.9954,0.99434,0.99208,0.99323,1.00022,1.00936,1.01192,1.01087,1.01069,1.018,,,1.01625,1.0137,1.02221,1.00208,0.99964
Brunei Darussalam,0.98215,0.97737,0.97305,0.97887,0.97267,0.97246,0.97813,0.98282,0.98777,0.99329,1.0011,0.99815,1.00955,1.01909,1.01017,1.01034,1.0142,1.01496,1.01621
Bhutan,0.85716,0.88163,,,,0.96003,0.97694,0.98435,0.99917,1.02099,1.029,1.03222,1.03747,1.03837,1.04076,1.03525,1.04809,1.04927,1.05822
