Country Name,Indicator Name,Year,Value
Afghanistan,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2000,34.2179985
Afghanistan,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2001,34.74200058
Afghanistan,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2002,35.37799835
Afghanistan,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2003,36.05500031
Afghanistan,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2004,36.60599899
Afghanistan,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2005,36.01300049
Afghanistan,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2006,35.63399887
Afghanistan,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2007,34.97900009
Afghanistan,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2008,34.38100052
Afghanistan,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2009,34.18000031
Afghanistan,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2010,34.81700134
Afghanistan,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2011,35.73699951
Afghanistan,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2012,36.6969986
Afghanistan,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2013,37.79399872
Afghanistan,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2014,38.95999908
Afghanistan,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2015,39.75400162
Afghanistan,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2016,40.55500031
Afghanistan,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2017,40.76499939
Afghanistan,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2018,40.96500015
Afghanistan,Proportion of seats held by women in national parliaments (% of total number of seats),2006,27.3092
Afghanistan,Proportion of seats held by women in national parliaments (% of total number of seats),2007,27.3092
Afghanistan,Proportion of seats held by women in national parliaments (% of total number of seats),2008,27.686
Afghanistan,Proportion of seats held by women in national parliaments (% of total number of seats),2009,27.686
Afghanistan,Proportion of seats held by women in national parliaments (% of total number of seats),2010,27.3092
Afghanistan,Proportion of seats held by women in national parliaments (% of total number of seats),2011,27.7108
Afghanistan,Proportion of seats held by women in national parliaments (% of total number of seats),2012,27.7108
Afghanistan,Proportion of seats held by women in national parliaments (% of total number of seats),2013,27.7108
Afghanistan,Proportion of seats held by women in national parliaments (% of total number of seats),2014,27.7108
Afghanistan,Proportion of seats held by women in national parliaments (% of total number of seats),2015,27.7108
Afghanistan,Proportion of seats held by women in national parliaments (% of total number of seats),2016,27.7108
Afghanistan,Proportion of seats held by women in national parliaments (% of total number of seats),2017,27.7108
Afghanistan,Proportion of seats held by women in national parliaments (% of total number of seats),2018,27.7108
Afghanistan,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2016,42.2
Albania,"Children out of school, female (% of female primary school age)",2000,5.54348
Albania,"Children out of school, female (% of female primary school age)",2002,7.76846
Albania,"Children out of school, female (% of female primary school age)",2003,8.02623
Albania,"Children out of school, female (% of female primary school age)",2007,10.63223
Albania,"Children out of school, female (% of female primary school age)",2008,12.66232
Albania,"Children out of school, female (% of female primary school age)",2009,11.53907
Albania,"Children out of school, female (% of female primary school age)",2010,9.78291
Albania,"Children out of school, female (% of female primary school age)",2011,6.38463
Albania,"Children out of school, female (% of female primary school age)",2012,2.83276
Albania,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2000,34.7179985
Albania,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2001,33.92100143
Albania,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2002,31.55500031
Albania,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2003,29.41600037
Albania,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2004,27.5340004
Albania,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2005,25.89699936
Albania,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2006,24.36800003
Albania,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2007,22.30699921
Albania,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2008,20.65800095
Albania,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2009,17.9829998
Albania,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2010,21.88800049
Albania,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2011,21.38100052
Albania,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2012,14.72700024
Albania,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2013,13.81000042
Albania,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2014,13.34500027
Albania,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2015,15.04800034
Albania,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2016,16.47900009
Albania,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2017,16.80200005
Albania,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2018,17.10899925
Albania,Proportion of seats held by women in national parliaments (% of total number of seats),2000,5.1613
Albania,Proportion of seats held by women in national parliaments (% of total number of seats),2001,5.1613
Albania,Proportion of seats held by women in national parliaments (% of total number of seats),2002,5.7143
Albania,Proportion of seats held by women in national parliaments (% of total number of seats),2003,5.7143
Albania,Proportion of seats held by women in national parliaments (% of total number of seats),2004,5.7143
Albania,Proportion of seats held by women in national parliaments (% of total number of seats),2005,6.4286
Albania,Proportion of seats held by women in national parliaments (% of total number of seats),2006,7.1429
Albania,Proportion of seats held by women in national parliaments (% of total number of seats),2007,7.1429
Albania,Proportion of seats held by women in national parliaments (% of total number of seats),2008,7.1429
Albania,Proportion of seats held by women in national parliaments (% of total number of seats),2009,7.1429
Albania,Proportion of seats held by women in national parliaments (% of total number of seats),2010,16.4286
Albania,Proportion of seats held by women in national parliaments (% of total number of seats),2011,16.4286
Albania,Proportion of seats held by women in national parliaments (% of total number of seats),2012,15.7143
Albania,Proportion of seats held by women in national parliaments (% of total number of seats),2013,15.7143
Albania,Proportion of seats held by women in national parliaments (% of total number of seats),2014,20
Albania,Proportion of seats held by women in national parliaments (% of total number of seats),2015,20.7143
Albania,Proportion of seats held by women in national parliaments (% of total number of seats),2016,20.7143
Albania,Proportion of seats held by women in national parliaments (% of total number of seats),2017,22.8571
Albania,Proportion of seats held by women in national parliaments (% of total number of seats),2018,27.8571
Albania,Proportion of women in managerial positions (%),2007,20.5
Albania,Proportion of women in managerial positions (%),2008,23.7
Albania,Proportion of women in managerial positions (%),2009,22.5
Albania,Proportion of women in managerial positions (%),2010,19.1
Albania,Proportion of women in managerial positions (%),2012,16.1
Albania,Proportion of women in managerial positions (%),2013,31.9
Albania,Proportion of women in managerial positions (%),2017,22.6
Albania,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2009,13.9
Albania,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2018,4.9
Algeria,"Children out of school, female (% of female primary school age)",2000,8.78983
Algeria,"Children out of school, female (% of female primary school age)",2001,7.37515
Algeria,"Children out of school, female (% of female primary school age)",2002,6.765
Algeria,"Children out of school, female (% of female primary school age)",2003,5.98404
Algeria,"Children out of school, female (% of female primary school age)",2004,5.67122
Algeria,"Children out of school, female (% of female primary school age)",2005,5.46786
Algeria,"Children out of school, female (% of female primary school age)",2006,5.05028
Algeria,"Children out of school, female (% of female primary school age)",2007,3.51844
Algeria,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2000,6.487999916
Algeria,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2001,6.19299984
Algeria,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2002,6.039000034
Algeria,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2003,6.863999844
Algeria,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2004,6.577000141
Algeria,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2005,6.730999947
Algeria,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2006,5.852000237
Algeria,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2007,5.730999947
Algeria,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2008,5.578999996
Algeria,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2009,5.755000114
Algeria,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2010,6.285999775
Algeria,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2011,6.301000118
Algeria,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2012,6.222000122
Algeria,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2013,5.324999809
Algeria,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2014,4.81400013
Algeria,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2015,4.936999798
Algeria,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2016,4.71999979
Algeria,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2017,4.532999992
Algeria,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2018,4.260000229
Algeria,Proportion of seats held by women in national parliaments (% of total number of seats),2000,3.1579
Algeria,Proportion of seats held by women in national parliaments (% of total number of seats),2001,3.4211
Algeria,Proportion of seats held by women in national parliaments (% of total number of seats),2002,3.4211
Algeria,Proportion of seats held by women in national parliaments (% of total number of seats),2003,6.1697
Algeria,Proportion of seats held by women in national parliaments (% of total number of seats),2004,6.1697
Algeria,Proportion of seats held by women in national parliaments (% of total number of seats),2005,6.1697
Algeria,Proportion of seats held by women in national parliaments (% of total number of seats),2006,6.1697
Algeria,Proportion of seats held by women in national parliaments (% of total number of seats),2007,6.1697
Algeria,Proportion of seats held by women in national parliaments (% of total number of seats),2008,7.7121
Algeria,Proportion of seats held by women in national parliaments (% of total number of seats),2009,7.7121
Algeria,Proportion of seats held by women in national parliaments (% of total number of seats),2010,7.7121
Algeria,Proportion of seats held by women in national parliaments (% of total number of seats),2011,7.7121
Algeria,Proportion of seats held by women in national parliaments (% of total number of seats),2012,7.9692
Algeria,Proportion of seats held by women in national parliaments (% of total number of seats),2013,31.6017
Algeria,Proportion of seats held by women in national parliaments (% of total number of seats),2014,31.6017
Algeria,Proportion of seats held by women in national parliaments (% of total number of seats),2015,31.6017
Algeria,Proportion of seats held by women in national parliaments (% of total number of seats),2016,31.6017
Algeria,Proportion of seats held by women in national parliaments (% of total number of seats),2017,31.6017
Algeria,Proportion of seats held by women in national parliaments (% of total number of seats),2018,25.7576
Algeria,Proportion of women in managerial positions (%),2001,5.2
Algeria,Proportion of women in managerial positions (%),2003,5.7
Algeria,Proportion of women in managerial positions (%),2004,4.9
Algeria,Proportion of women in managerial positions (%),2013,10.6
Algeria,Proportion of women in managerial positions (%),2014,9.9
Algeria,Proportion of women in managerial positions (%),2017,8.4
Algeria,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2006,74.7
Algeria,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2013,77.2
Andorra,Proportion of seats held by women in national parliaments (% of total number of seats),2000,7.1429
Andorra,Proportion of seats held by women in national parliaments (% of total number of seats),2001,7.1429
Andorra,Proportion of seats held by women in national parliaments (% of total number of seats),2002,14.2857
Andorra,Proportion of seats held by women in national parliaments (% of total number of seats),2003,14.2857
Andorra,Proportion of seats held by women in national parliaments (% of total number of seats),2004,14.2857
Andorra,Proportion of seats held by women in national parliaments (% of total number of seats),2005,14.2857
Andorra,Proportion of seats held by women in national parliaments (% of total number of seats),2006,28.5714
Andorra,Proportion of seats held by women in national parliaments (% of total number of seats),2007,28.5714
Andorra,Proportion of seats held by women in national parliaments (% of total number of seats),2008,25
Andorra,Proportion of seats held by women in national parliaments (% of total number of seats),2009,25
Andorra,Proportion of seats held by women in national parliaments (% of total number of seats),2010,35.7143
Andorra,Proportion of seats held by women in national parliaments (% of total number of seats),2011,35.7143
Andorra,Proportion of seats held by women in national parliaments (% of total number of seats),2012,50
Andorra,Proportion of seats held by women in national parliaments (% of total number of seats),2013,50
Andorra,Proportion of seats held by women in national parliaments (% of total number of seats),2014,50
Andorra,Proportion of seats held by women in national parliaments (% of total number of seats),2015,50
Andorra,Proportion of seats held by women in national parliaments (% of total number of seats),2016,39.2857
Andorra,Proportion of seats held by women in national parliaments (% of total number of seats),2017,32.1429
Andorra,Proportion of seats held by women in national parliaments (% of total number of seats),2018,32.1429
Angola,"Children out of school, female (% of female primary school age)",2007,23.50038
Angola,"Children out of school, female (% of female primary school age)",2008,24.66588
Angola,"Children out of school, female (% of female primary school age)",2009,25.35356
Angola,"Children out of school, female (% of female primary school age)",2010,28.51859
Angola,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2000,24.41399956
Angola,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2001,23.23699951
Angola,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2002,23.01300049
Angola,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2003,23.3220005
Angola,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2004,28.34399986
Angola,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2005,32.91799927
Angola,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2006,37.43399811
Angola,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2007,41.1269989
Angola,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2008,43.41400146
Angola,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2009,45.70199966
Angola,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2010,47.94599915
Angola,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2011,47.9109993
Angola,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2012,47.72600174
Angola,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2013,47.62200165
Angola,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2014,47.59700012
Angola,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2015,47.50799942
Angola,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2016,47.48199844
Angola,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2017,47.23300171
Angola,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",2018,47.20100021
Angola,Proportion of seats held by women in national parliaments (% of total number of seats),2000,15.4545
Angola,Proportion of seats held by women in national parliaments (% of total number of seats),2001,15.4545
Angola,Proportion of seats held by women in national parliaments (% of total number of seats),2002,15.4545
Angola,Proportion of seats held by women in national parliaments (% of total number of seats),2003,15.4545
Angola,Proportion of seats held by women in national parliaments (% of total number of seats),2004,15.4545
Angola,Proportion of seats held by women in national parliaments (% of total number of seats),2005,15
Angola,Proportion of seats held by women in national parliaments (% of total number of seats),2006,15
Angola,Proportion of seats held by women in national parliaments (% of total number of seats),2007,15
Angola,Proportion of seats held by women in national parliaments (% of total number of seats),2008,15
Angola,Proportion of seats held by women in national parliaments (% of total number of seats),2009,37.2727
Angola,Proportion of seats held by women in national parliaments (% of total number of seats),2010,38.6364
Angola,Proportion of seats held by women in national parliaments (% of total number of seats),2011,38.6364
Angola,Proportion of seats held by women in national parliaments (% of total number of seats),2012,38.1818
Angola,Proportion of seats held by women in national parliaments (% of total number of seats),2013,34.0909
Angola,Proportion of seats held by women in national parliaments (% of total number of seats),2014,36.8182
Angola,Proportion of seats held by women in national parliaments (% of total number of seats),2015,36.8182
Angola,Proportion of seats held by women in national parliaments (% of total number of seats),2016,36.8182
Angola,Proportion of seats held by women in national parliaments (% of total number of seats),2017,38.1818
Angola,Proportion of seats held by women in national parliaments (% of total number of seats),2018,30.4545
Angola,Proportion of women in managerial positions (%),2004,29.5
Angola,Proportion of women in managerial positions (%),2010,29.8
Angola,Proportion of women in managerial positions (%),2011,31.9
Angola,Proportion of women in managerial positions (%),2014,19.5
Angola,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods (% of women aged 15-49 years),2016,29.8
Antigua and Barbuda,"Children out of school, female (% of female primary school age)",2011,4.24331
Antigua and Barbuda,"Children out of school, female (% of female primary school age)",2013,5.42309
Antigua and Barbuda,"Children out of school, female (% of female primary school age)",2014,0.52731
Antigua and Barbuda,"Children out of school, female (% of female primary school age)",2016,1.30774
Antigua and Barbuda,Proportion of seats held by women in national parliaments (% of total number of seats),2000,5.2632
Antigua and Barbuda,Proportion of seats held by women in national parliaments (% of total number of seats),2001,5.2632
Antigua and Barbuda,Proportion of seats held by women in national parliaments (% of total number of seats),2002,5.2632
Antigua and Barbuda,Proportion of seats held by women in national parliaments (% of total number of seats),2003,5.2632
Antigua and Barbuda,Proportion of seats held by women in national parliaments (% of total number of seats),2004,5.2632
Antigua and Barbuda,Proportion of seats held by women in national parliaments (% of total number of seats),2005,10.5263
Antigua and Barbuda,Proportion of seats held by women in national parliaments (% of total number of seats),2006,10.5263
Antigua and Barbuda,Proportion of seats held by women in national parliaments (% of total number of seats),2007,10.5263
Antigua and Barbuda,Proportion of seats held by women in national parliaments (% of total number of seats),2008,10.5263
Antigua and Barbuda,Proportion of seats held by women in national parliaments (% of total number of seats),2009,10.5263
Antigua and Barbuda,Proportion of seats held by women in national parliaments (% of total number of seats),2010,10.5263
Antigua and Barbuda,Proportion of seats held by women in national parliaments (% of total number of seats),2011,10.5263
Antigua and Barbuda,Proportion of seats held by women in national parliaments (% of total number of seats),2012,10.5263
Antigua and Barbuda,Proportion of seats held by women in national parliaments (% of total number of seats),2013,10.5263
Antigua and Barbuda,Proportion of seats held by women in national parliaments (% of total number of seats),2014,10.5263
Antigua and Barbuda,Proportion of seats held by women in national parliaments (% of total number of seats),2015,11.1111
Antigua and Barbuda,Proportion of seats held by women in national parliaments (% of total number of seats),2016,11.1111
Antigua and Barbuda,Proportion of seats held by women in national parliaments (% of total number of seats),2017,11.1111
Antigua and Barbuda,Proportion of seats held by women in national parliaments (% of total number of seats),2018,11.1111
Arab World,"Children out of school, female (% of female primary school age)",2000,24.55283928
Arab World,"Children out of school, female (% of female primary school age)",2001,23.2896595
Arab World,"Children out of school, female (% of female primary school age)",2002,22.43379974
Arab World,"Children out of school, female (% of female primary school age)",2003,21.81674004
Arab World,"Children out of school, female (% of female primary school age)",2004,20.66168022
Arab World,"Children out of school, female (% of female primary school age)",2005,20.19317055
Arab World,"Children out of school, female (% of female primary school age)",2006,19.30974007
Arab World,"Children out of school, female (% of female primary school age)",2007,17.53296089
Arab World,"Children out of school, female (% of female primary school age)",2008,17.4847908
Arab World,"Children out of school, female (% of female primary school age)",2009,16.156
Arab World,"Children out of school, female (% of female primary school age)",2010,16.24493
