CountryName,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,,,,,,27.3,27.3,27.7,27.7,27.3,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7
Angola,AGO,15.5,15.5,15.5,15.5,15,15,15,15,37.3,38.6,38.6,38.2,34.1,34.1,36.8,36.8,36.8,38.2,30.5
Albania,ALB,5.2,5.7,5.7,5.7,6.4,7.1,7.1,7.1,7.1,16.4,16.4,15.7,15.7,17.9,20,20.7,22.9,27.9,27.9
Andorra,AND,7.1,14.3,14.3,14.3,14.3,28.6,28.6,28.6,25,35.7,35.7,50,50,50,50,39.3,32.1,32.1,32.1
Arab World,ARB,3.768103117,4.610597637,6.132351922,6.043917526,6.702670623,7.041782323,9.357819225,9.762156347,9.810925173,9.91258881,11.92392572,11.3352657,14.87201835,17.49244457,17.79396971,18.77915119,18.85264985,18.8210344,19.01797882
United Arab Emirates,ARE,0,0,0,0,0,0,5,22.5,22.5,22.5,22.5,17.5,17.5,17.5,17.5,22.5,22.5,22.5,22.5
Argentina,ARG,26.5,,30.7,30.7,33.7,36.2,35,40,40,38.5,38.5,37.4,37.4,,36.6,,35.8,38.9,38.9
Armenia,ARM,3.1,3.1,3.1,4.6,5.3,5.3,5.3,9.2,8.4,9.2,9.2,8.4,10.7,10.7,10.7,10.7,10.7,18.1,18.1
American Samoa,ASM,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,5.3,5.3,5.3,5.3,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,11.1,11.1,11.1,11.1,11.1
Australia,AUS,23,,25.3,25.3,24.7,24.7,24.7,26.7,26.7,27.3,24.7,24.7,24.7,26,26,26.7,28.7,28.7,28.7
Austria,AUT,26.8,26.8,,33.9,33.9,33.9,32.2,32.8,27.3,27.9,27.9,27.9,27.9,33.3,32.2,30.6,30.6,30.6,34.4
Azerbaijan,AZE,,10.5,10.5,10.5,10.5,13,11.3,11.4,11.4,11.4,16,16,16,16,15.6,16.9,16.8,16.8,16.8
Burundi,BDI,14.4,14.4,18.4,18.4,18.4,30.5,30.5,30.5,30.5,31.4,32.1,30.5,30.5,30.5,30.5,36.4,36.4,36.4,36.4
Belgium,BEL,23.3,23.3,23.3,35.3,34.7,34.7,34.7,35.3,35.3,38,39.3,38,38,38,39.3,39.3,39.3,38,38
Benin,BEN,6,6,6,6,7.2,7.2,7.2,10.8,10.8,10.8,10.8,8.4,8.4,8.4,8.4,7.2,7.2,7.2,7.2
Burkina Faso,BFA,8.1,8.1,11.7,11.7,11.7,11.7,11.7,15.3,15.3,15.3,15.3,15.3,15.7,15.7,18.9,9.4,9.4,11,11
Bangladesh,BGD,9.1,,2,2,2,14.8,15.1,,6.3,18.6,18.6,19.7,19.7,19.7,19.8,20,20,20.3,20.3
Bulgaria,BGR,10.8,26.2,26.2,26.2,26.3,22.1,22.1,21.7,21.7,20.8,20.8,20.8,22.9,24.6,20,20.4,20.4,23.8,23.8
Bahrain,BHR,,,,0,0,0,2.5,2.5,2.5,2.5,2.5,10,10,10,7.5,7.5,7.5,7.5,7.5
"Bahamas, The",BHS,15,15,,20,20,20,20,12.2,12.2,12.2,12.2,12.2,13.2,13.2,13.2,13.2,13.2,12.8,12.8
Bosnia and Herzegovina,BIH,,7.1,,16.7,16.7,16.7,14.3,11.9,11.9,19,16.7,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.4
Belarus,BLR,,10.3,10.3,10.3,29.4,29.1,29.1,29.1,31.8,31.8,31.8,31.8,26.6,26.6,26.6,27.3,34.5,34.5,34.5
Belize,BLZ,6.9,6.9,6.9,3.3,6.7,6.7,6.7,3.3,0,0,0,0,3.1,3.1,3.1,3.1,3.1,9.4,9.4
Bermuda,BMU,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,11.5,11.5,18.5,18.5,19.2,16.9,16.9,16.9,16.9,22.3,25.4,25.4,25.4,25.4,53.1,53.1,53.1,53.1,53.1
Brazil,BRA,5.7,6.8,6.2,8.6,8.6,8.6,8.8,9,9,8.8,8.6,8.6,8.6,8.6,9.9,9.9,9.9,10.7,10.7
Barbados,BRB,10.7,10.7,10.7,13.3,13.3,13.3,13.3,13.3,10,10,10,10,10,16.7,16.7,16.7,16.7,16.7,20
Brunei Darussalam,BRN,,,,,,,,,,,,,,,,,6.5,9.1,9.1
Bhutan,BTN,9.3,9.3,9.3,9.3,9.2,9.3,2.7,2.7,8.5,8.5,8.5,8.5,8.5,6.4,8.5,8.5,8.5,8.5,8.5
Botswana,BWA,17,17,17,17,11.1,11.1,11.1,11.1,11.1,7.9,7.9,7.9,7.9,7.9,9.5,9.5,9.5,9.5,9.5
Central African Republic,CAF,7.3,7.3,7.3,,,10.5,10.5,10.5,10.5,9.6,9.6,12.5,12.5,,,,7.2,8.6,8.6
Canada,CAN,,20.6,20.6,20.6,21.1,21.1,20.8,21.3,22.1,22.1,22.1,24.8,24.7,24.7,25.1,26,26,26.3,27
Central Europe and the Baltics,CEB,12.9412649,15.55042301,16.10194585,16.24071396,17.13930242,16.72378723,17.09978732,16.83147597,16.80611465,17.05800425,17.02530786,18.42124308,19.25792507,19.20119292,19.69763181,20.11644265,19.8952509,22.12341509,22.02646923
Switzerland,CHE,23,23,23,25,25,25,25,28.5,28.5,29,29,28.5,29,29,31,32,32,32.5,32.5
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,
Chile,CHL,10.8,10.8,12.5,12.5,12.5,15,15,15,15,14.2,14.2,14.2,14.2,14.2,15.8,15.8,15.8,15.8,22.6
China,CHN,21.8,21.8,21.8,20.2,20.2,20.3,20.3,20.6,21.3,21.3,21.3,21.3,21.3,23.4,23.4,23.6,23.6,24.2,24.9
Cote d'Ivoire,CIV,,8.5,8.5,8.5,8.5,8.5,8.5,8.9,8.9,8.9,8.9,11,10.4,10.4,9.4,9.2,9.2,10.6,10.6
Cameroon,CMR,5.6,5.6,8.9,8.9,8.9,8.9,8.9,13.9,13.9,13.9,13.9,13.9,13.9,31.1,31.1,31.1,31.1,31.1,31.1
"Congo, Dem. Rep.",COD,,,,,12,12,8.4,8.4,8.4,8.4,8.4,,8.9,8.9,10.6,8.9,8.9,8.9,8.9
"Congo, Rep.",COG,12,12,,8.5,8.5,8.5,8.5,7.3,7.3,7.3,7.3,7.3,7.4,7.4,7.4,7.4,7.4,11.3,11.3
Colombia,COL,11.8,11.8,12,12,12,12.1,8.4,8.4,8.4,8.4,12.7,12.1,12.1,12.1,19.9,19.9,19.9,18.7,18.1
Comoros,COM,,,,,3,3,3,3,3,0,3,3,3,3,3,3,3,6.1,6.1
Cabo Verde,CPV,11.1,11.1,11.1,11.1,11.1,11.1,15.3,18.1,18.1,18.1,18.1,20.8,20.8,20.8,20.8,20.8,23.6,23.6,23.6
Costa Rica,CRI,19.3,19.3,35.1,35.1,35.1,35.1,38.6,36.8,36.8,36.8,38.6,38.6,38.6,38.6,33.3,33.3,33.3,35.1,45.6
Caribbean small states,CSS,13.23064516,14.58128205,,15.9295612,17.83009259,17.83101852,17.24643678,18.09117647,17.48609865,17.3731377,15.24394619,15.84977679,16.18269663,17.0811236,17.15869074,19.73363229,20.41165919,21.26510067,21.93624161
Cuba,CUB,27.6,27.6,27.6,36,36,36,36,36,43.2,43.2,43.2,45.2,45.2,48.9,48.9,48.9,48.9,48.9,53.2
Curacao,CUW,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,7.1,10.7,10.7,10.7,16.1,16.1,14.3,14.3,14.3,12.5,12.5,10.7,10.7,10.7,12.5,12.5,17.9,17.9,17.9
Czech Republic,CZE,15,15,17,17,17,17,15.5,15.5,15.5,15.5,22,22,22,19.5,19.5,20,20,20,22
Germany,DEU,30.9,31.1,32.2,32.2,32.8,31.8,31.6,31.6,32.2,32.8,32.8,32.9,32.9,36.5,36.5,36.5,36.5,37,30.7
Djibouti,DJI,0,0,0,10.8,10.8,10.8,10.8,13.8,13.8,13.8,13.8,13.8,13.8,12.7,12.7,12.7,12.7,10.8,26.2
Dominica,DMA,,18.8,18.8,18.8,19.4,12.9,12.9,16.1,18.8,14.3,12.5,12.5,12.5,12.5,12.9,21.9,21.9,25,25
Denmark,DNK,37.4,,38,38,38,36.9,36.9,38,38,38,38,39.1,39.1,39.1,39.1,37.4,37.4,37.4,37.4
Dominican Republic,DOM,16.1,16.1,17.3,17.3,17.3,17.3,19.7,19.7,19.7,19.7,20.8,20.8,20.8,20.8,20.8,20.8,26.8,26.8,26.8
Algeria,DZA,3.4,3.4,6.2,6.2,6.2,6.2,6.2,7.7,7.7,7.7,7.7,8,31.6,31.6,31.6,31.6,31.6,25.8,25.8
East Asia & Pacific (excluding high income),EAP,17.33372703,17.57561132,18.05923362,16.84143007,17.12956642,17.26538344,17.62555823,17.96756967,18.23610293,18.49531298,17.87655081,17.8682336,18.18328791,19.27174349,19.02103228,19.70945085,19.81338196,20.06646378,20.58380448
